node_id,name,type,degree_centrality,betweenness_centrality,pagerank
USDTHB,USDTHB,FX,0.764706,0.514706,0.079565
SET,SET Index,Index,0.705882,0.029412,0.086779
THAI_BANK_BASKET,Thai Bank Basket,DerivedFactor,0.588235,0.0,0.092036
TISCO,TISCO,Bank,0.588235,0.058824,0.060789
KBANK,KBANK,Bank,0.588235,0.014706,0.068842
KKP,KKP,Bank,0.588235,0.044118,0.069192
KTB,KTB,Bank,0.529412,0.0,0.065817
SCB,SCB,Bank,0.529412,0.0,0.063477
TTB,TTB,Bank,0.470588,0.0,0.058781
BBL,BBL,Bank,0.470588,0.0,0.068399
EUFN,EUFN,ETF,0.411765,0.029412,0.054453
VIX,VIX,MacroFactor,0.294118,0.007353,0.042171
XLF,XLF,ETF,0.235294,0.0,0.039997
DGS10,US 10Y Yield,MacroFactor,0.176471,0.102941,0.046013
DGS2,US 2Y Yield,MacroFactor,0.176471,0.0,0.054545
US_YIELD_CURVE,US Yield Curve,DerivedFactor,0.117647,0.007353,0.027211
MORTGAGE30US,US 30Y Mortgage,MacroFactor,0.058824,0.0,0.013187
FEDFUNDS,Fed Funds Rate,MacroFactor,0.0,0.0,0.008746
